,state_code,city,name,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
1,2,143,1,2007,#N/A,2009,2010,2,3,4,6,3,3,0.00771064,3,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
2,2,90,2,2000,#N/A,2005,2009,5,9,7,7,9,4,0.849208319,1,1,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,4,1,1
3,2,143,3,2009,#N/A,2010,2010,1,1,1,2,5,1,0.054842983,2,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,1
4,2,45,4,2002,#N/A,2005,2007,3,5,6,6,5,3,0.847090011,1,1,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1
5,2,144,5,2010,2012,2010,2012,0,1,0,0,2,2,0.027304984,1,1,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0
6,2,105,6,2002,2009,2006,2006,4,4,5,5,3,1,0.158640053,1,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,0
7,2,105,7,2005,#N/A,2006,2010,1,5,3,6,6,3,0.550526952,2,1,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1
8,2,120,8,2005,#N/A,2007,2010,1,4,2,6,14,3,0.121569671,4,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
9,2,98,9,2006,2011,2007,2011,1,5,0,4,8,5,0.220070973,2,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0
10,11,91,10,2004,2012,2008,2008,4,4,3,4,0,1,0.007181063,0,0,0,0,0,1,34,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
11,23,26,11,2007,#N/A,2007,2010,0,2,0,4,15,3,0.210538589,3,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2,1,1
12,31,171,12,1999,2010,2005,2005,6,6,3,4,0,1,0.004003601,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
13,23,111,13,2010,#N/A,2010,2011,0,1,1,3,10,3,0.096679557,3,0,1,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,1,1
14,2,120,14,2007,2011,2009,2009,2,2,3,3,13,2,0.592893104,3,1,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
15,29,11,15,2001,#N/A,2003,2004,2,3,4,9,8,2,0.09201928,3,0,0,0,1,0,31,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
16,32,154,16,2004,2011,2007,2007,3,3,3,3,3,1,0.31751312,1,0,0,0,0,1,23,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0
17,2,120,17,2002,2008,2007,2007,5,5,0,0,1,1,0.066917336,1,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
18,2,144,18,2008,2013,2007,2011,1,3,3,5,4,2,0.04848806,3,1,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0
19,3,24,19,2007,2010,2007,2007,0,0,3,4,5,2,0.009405286,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4,1,0
20,9,40,20,2002,#N/A,2006,2006,4,4,1,1,3,1,0.275146969,1,0,0,0,0,1,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1
21,2,120,21,2003,#N/A,2007,2007,4,4,3,3,7,1,0.31751312,1,1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,1,1
22,2,16,22,2008,#N/A,2012,2012,4,4,3,5,2,1,0.080262674,3,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,1
23,2,149,23,2005,#N/A,2006,2006,1,1,2,7,5,1,0.020950062,3,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1
