Startup Data
name,city,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_first_milestone_year,funding_rounds,funding_total_usd,category_code,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
Bandsintown,San Diego,1/1/2007,,4/1/2009,1/1/2010,2.2493,4.6685,3,375000,music,0,1,0,0,0,0,1.0,0,acquired
TriCipher,Los Gatos,1/1/2000,,2/14/2005,12/28/2009,5.126,7.0055,4,40100000,enterprise,1,0,0,1,1,1,4.75,1,acquired
Plixi,San Diego,3/18/2009,,3/30/2010,3/30/2010,1.0329,1.4575,1,2600000,web,0,0,1,0,0,0,4.0,1,acquired
Solidcore Systems,Cupertino,1/1/2002,,2/17/2005,4/25/2007,3.1315,6.0027,3,40000000,software,0,0,0,1,1,1,3.3333,1,acquired
Inhale Digital,San Francisco,8/1/2010,10/1/2012,8/1/2010,4/1/2012,0.0,0.0384,2,1300000,games_video,1,1,0,0,0,0,1.0,1,closed
Matisse Networks,Mountain View,1/1/2002,2/15/2009,7/18/2006,7/18/2006,4.5452,5.0027,1,7500000,network_hosting,0,0,0,1,0,0,3.0,1,closed
RingCube Technologies,Mountain View,1/1/2005,,9/21/2006,3/18/2010,1.7205,3.0,3,26000000,software,1,0,1,1,0,0,1.6667,1,acquired
ClairMail,San Rafael,1/1/2004,,8/24/2005,10/4/2010,1.6466,5.6055,3,34100000,finance,0,0,1,1,0,1,3.5,1,acquired
VoodooVox,Williamstown,1/1/2002,,8/2/2005,2/8/2013,3.5863,8.0055,3,9650000,mobile,1,0,1,0,0,1,4.0,1,acquired
Doostang,Palo Alto,6/1/2005,,2/1/2007,2/5/2010,1.6712,2.9178,3,5750000,web,1,1,1,0,0,0,1.0,1,acquired
Zong,Menlo Park,11/15/2000,,7/1/2005,4/26/2010,4.6274,10.1342,3,27500000,mobile,0,0,1,1,0,0,1.0,1,acquired
Center'd,Menlo Park,1/1/2006,12/2/2011,2/1/2007,5/3/2011,1.0849,-0.6164,5,10400000,web,1,1,1,0,0,0,1.75,1,closed
Resonant Vibes,Louisville,1/1/2004,4/27/2012,11/25/2008,11/25/2008,4.9041,,1,350000,web,1,0,0,0,0,0,1.0,0,closed
drop.io,Brooklyn,11/26/2007,,12/3/2007,5/3/2010,0.0192,0.7945,3,9950000,education,0,0,1,1,1,0,2.3333,1,acquired
Stratavia,Denver,1/1/2001,,8/31/2005,12/29/2009,4.6658,8.8384,5,10700000,software,0,0,1,1,0,0,2.5,1,acquired
Invicta Networks,Vienna,1/1/1999,3/28/2010,8/9/2005,8/9/2005,6.6082,,1,200000,public_relations,1,0,0,0,0,0,1.0,0,closed
QSecure,Los Altos,1/1/2003,9/22/2012,8/2/2005,10/5/2009,2.5863,5.5014,5,49000000,security,1,0,1,1,1,1,3.5,1,closed
MeeVee,Burlingame,7/1/2000,,2/1/2005,9/1/2007,4.5918,-0.4986,4,25000000,games_video,0,0,1,1,1,1,3.5,1,acquired
SinglePlatform,New York,1/1/2010,,9/29/2010,8/1/2011,0.7425,1.2849,3,4575000,web,0,1,1,0,0,0,5.0,1,acquired
Bling Nation,Palo Alto,1/1/2007,9/10/2011,7/2/2009,10/30/2009,2.5014,3.0877,2,28000000,enterprise,0,0,1,1,0,0,1.0,1,closed
Metreos Corporation,Austin,1/1/2001,,3/20/2003,10/14/2004,2.2137,4.0877,2,4355000,software,0,1,1,0,0,0,1.5,0,acquired
Hidden City Games,Seattle,1/1/2004,9/28/2011,10/31/2007,10/31/2007,3.8329,3.7507,1,15000000,other,0,0,0,1,0,0,2.0,1,closed
Neopolitan Networks,Palo Alto,1/1/2002,7/25/2008,6/28/2007,6/28/2007,5.4904,0.0,1,3170000,web,0,0,1,0,0,0,2.0,0,closed
Pixelpipe,San Francisco,1/1/2008,8/2/2013,1/1/2007,4/25/2011,-1.0,3.6959,2,2300000,mobile,0,1,1,0,0,0,2.0,0,closed
EventVue,Boulder,5/1/2007,2/1/2010,8/1/2007,9/1/2007,0.2521,,2,455000,public_relations,0,1,1,0,0,0,4.5,1,closed
BridgePort Networks,Chicago,1/1/2002,,11/3/2006,11/3/2006,4.8411,1.0,1,13000000,software,0,0,0,0,1,0,4.0,1,acquired
